                     Expected | GnuTLS  NSS     OpenSSL | Test description
bad0.tmpl            INvalid  | INvalid INvalid INvalid | 2 constraints (dns, dns), non-intuitive order
bad1.tmpl            INvalid  | INvalid INvalid INvalid | empty CN, empty excluded dns
bad2.tmpl            INvalid  | INvalid INvalid INvalid | multiple dns constraints, empty intersection
bad3.tmpl            INvalid  | INvalid valid   valid   | dns in CN, in excluded range
bad4.tmpl            INvalid  | INvalid INvalid INvalid | basic dns intersection
bad5.tmpl            INvalid  | INvalid INvalid INvalid | IP in excluded range
bad6.tmpl            INvalid  | INvalid INvalid INvalid | 2 constraints (dns, email), non-intuitive order
good0.tmpl           valid    | valid   valid   valid   | empty CN, empty SAN, permitted dns range
good1.tmpl           valid    | valid   valid   valid   | dns in permitted range
good2.tmpl           valid    | valid   valid   INvalid | ipv6 in permitted range
corner.tmpl          INvalid  | INvalid INvalid INvalid | universal excluded DNS name constraint
dns1.tmpl            valid    | valid   valid   valid   | DNS name superstring of excluded domain (but not subdomain!)
dns2.tmpl            valid    | valid   valid   valid   | DNS name with permitted TLD
dns3.tmpl            INvalid  | INvalid INvalid INvalid | DNS in excluded domain
dns4.tmpl            INvalid  | INvalid INvalid INvalid | DNS not in permitted fields
dns5.tmpl            valid    | valid   valid   valid   | DNS name with permitted TLD (with dot)
email1.tmpl          valid    | valid   valid   valid   | email in directly in permitted fields
email2.tmpl          INvalid  | INvalid INvalid INvalid | email not in permitted fields
email3.tmpl          valid    | valid   valid   valid   | email in permitted domain
email4.tmpl          valid    | valid   valid   valid   | email in subdomain of permitted domain
email5.tmpl          INvalid  | INvalid INvalid INvalid | email in domain where only subdomains are permitted
email6.tmpl          INvalid  | INvalid INvalid INvalid | email in excluded domain
suite10-ip1.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 both empty intersection - IP falls out due to intersection
suite10-ip2.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 both empty intersection - IP unrelated to constraints
suite10-ip3.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 both empty intersection - IP falls out due to intersection
suite10-ip4.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 both empty intersection - IP falls out due to intersection
suite10-ip5.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 both empty intersection - IP unrelated to constraints
suite10-ip6.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 both empty intersection - IP falls out due to intersection
suite11-ip1.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 each once - IP in IPv4 range
suite11-ip2.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 each once - IP unrelated to permitted constraints
suite11-ip3.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 each once - IP in IPv6 range
suite11-ip4.tmpl     INvalid  | INvalid INvalid INvalid | IPv4/v6 each once - IP unrelated to permitted constraints
suite3b-ip1.tmpl     INvalid  | INvalid INvalid INvalid | IPv6 universal excluded range
suite3b-ip2.tmpl     INvalid  | INvalid INvalid INvalid | IPv6 universal excluded range
suite3-ip1.tmpl      valid    | valid   valid   INvalid | IP adress in permitted range
suite3-ip2.tmpl      INvalid  | INvalid INvalid INvalid | IP adress out of permitted range
suite3-ip3.tmpl      INvalid  | INvalid INvalid INvalid | IP adress in excluded range
suite3-ip4.tmpl      valid    | valid   valid   INvalid | IPv6 adress in permitted range
suite3-ip5.tmpl      INvalid  | INvalid INvalid INvalid | IP adress out of permitted range
suite3-ip6.tmpl      INvalid  | INvalid INvalid INvalid | IP adress in excluded range
suite4-ip1.tmpl      valid    | valid   valid   INvalid | simple intersection - IP in intersection
